week_start,gt_bio_tomaten,gt_bio_salat,gt_bio_gurken,gt_bio_paprika,temp_mean_weekly,precip_sum_weekly,sunshine_hours_weekly,consumer_confidence,food_price_index,inflation_rate,gt_norm_bio_tomaten,gt_norm_bio_salat,gt_norm_bio_gurken,gt_norm_bio_paprika,week_of_year,month,quarter,year
2021-01-04,,,,,0.5,15.299999999999999,5.897074999999999,99.38899,111.6,1.202461567704982,,,,,1,1,1,2021
2021-01-11,39.0,37.0,37.0,37.0,0.8428571428571429,6.7,3.143272222222222,99.38899,111.6,1.202461567704982,0.39,0.37,0.37,0.37,2,1,1,2021
2021-01-18,48.0,29.0,29.0,29.0,-0.5285714285714286,19.0,8.408716666666665,99.38899,111.6,1.202461567704982,0.48,0.29,0.29,0.29,3,1,1,2021
2021-01-25,49.0,32.0,32.0,32.0,3.557142857142857,18.6,13.89903611111111,99.38899,111.6,1.202461567704982,0.49,0.32,0.32,0.32,4,1,1,2021
2021-02-01,31.0,34.0,34.0,34.0,-1.5285714285714285,5.8,35.49664166666667,99.55241,112.4,1.4984772651037035,0.31,0.34,0.34,0.34,5,2,1,2021
2021-02-08,52.0,36.0,36.0,36.0,-1.7428571428571427,28.9,4.6050916666666675,99.55241,112.4,1.4984772651037035,0.52,0.36,0.36,0.36,6,2,1,2021
2021-02-15,58.0,35.0,35.0,35.0,-8.728571428571428,4.8,52.408794444444446,99.55241,112.4,1.4984772651037035,0.58,0.35,0.35,0.35,7,2,1,2021
2021-02-22,58.0,39.0,39.0,39.0,4.4,7.0,45.87042777777777,99.55241,112.4,1.4984772651037035,0.58,0.39,0.39,0.39,8,2,1,2021
2021-03-01,68.0,31.0,31.0,31.0,7.1571428571428575,4.1,42.15405555555555,99.86309,112.4,1.7946053088239822,0.68,0.31,0.31,0.31,9,3,1,2021
2021-03-08,40.0,28.0,28.0,28.0,2.4857142857142853,1.0999999999999999,50.49936666666667,99.86309,112.4,1.7946053088239822,0.4,0.28,0.28,0.28,10,3,1,2021
2021-03-15,43.0,24.0,24.0,24.0,3.9857142857142853,23.9,40.62708333333333,99.86309,112.4,1.7946053088239822,0.43,0.24,0.24,0.24,11,3,1,2021
2021-03-22,58.0,22.0,22.0,22.0,2.3857142857142857,8.7,59.322286111111104,99.86309,112.4,1.7946053088239822,0.58,0.22,0.22,0.22,12,3,1,2021
2021-03-29,57.0,36.0,36.0,36.0,7.642857142857143,4.0,50.380583333333334,99.86309,112.4,1.7946053088239822,0.57,0.36,0.36,0.36,13,3,1,2021
2021-04-05,54.0,37.0,37.0,37.0,7.914285714285714,5.5,65.6271888888889,100.1951,113.8,1.9920623598844056,0.54,0.37,0.37,0.37,14,4,2,2021
2021-04-12,69.0,33.0,33.0,33.0,5.4,12.700000000000001,55.882574999999996,100.1951,113.8,1.9920623598844056,0.69,0.33,0.33,0.33,15,4,2,2021
2021-04-19,75.0,28.0,28.0,28.0,6.200000000000001,11.399999999999999,59.796794444444444,100.1951,113.8,1.9920623598844056,0.75,0.28,0.28,0.28,16,4,2,2021
2021-04-26,70.0,36.0,36.0,36.0,7.014285714285714,1.7,78.77790277777778,100.1951,113.8,1.9920623598844056,0.7,0.36,0.36,0.36,17,4,2,2021
2021-05-03,80.0,40.0,40.0,40.0,8.457142857142857,14.4,50.92228333333333,100.7296,113.4,2.191211911939628,0.8,0.4,0.4,0.4,18,5,2,2021
2021-05-10,62.0,27.0,27.0,27.0,11.157142857142857,10.1,74.73491944444444,100.7296,113.4,2.191211911939628,0.62,0.27,0.27,0.27,19,5,2,2021
2021-05-17,51.0,19.0,19.0,19.0,13.37142857142857,28.099999999999998,55.68313055555556,100.7296,113.4,2.191211911939628,0.51,0.19,0.19,0.19,20,5,2,2021
2021-05-24,55.0,18.0,18.0,18.0,12.799999999999999,11.299999999999999,101.23052777777778,100.7296,113.4,2.191211911939628,0.55,0.18,0.18,0.18,21,5,2,2021
2021-05-31,55.0,20.0,20.0,20.0,12.414285714285715,12.6,95.90399444444445,100.7296,113.4,2.191211911939628,0.55,0.2,0.2,0.2,22,5,2,2021
2021-06-07,40.0,15.0,15.0,15.0,19.599999999999998,0.4,100.45514166666666,101.2003,113.1,2.388078013883188,0.4,0.15,0.15,0.15,23,6,2,2021
2021-06-14,44.0,22.0,22.0,22.0,19.785714285714285,3.8000000000000003,91.87536666666666,101.2003,113.1,2.388078013883188,0.44,0.22,0.22,0.22,24,6,2,2021
2021-06-21,54.0,19.0,19.0,19.0,25.157142857142855,5.2,103.28386666666667,101.2003,113.1,2.388078013883188,0.54,0.19,0.19,0.19,25,6,2,2021
2021-06-28,48.0,19.0,19.0,19.0,19.67142857142857,4.800000000000001,80.3595,101.2003,113.1,2.388078013883188,0.48,0.19,0.19,0.19,26,6,2,2021
2021-07-05,47.0,17.0,17.0,17.0,19.414285714285715,71.8,68.9975388888889,101.3386,113.5,3.71118072990646,0.47,0.17,0.17,0.17,27,7,3,2021
2021-07-12,35.0,22.0,22.0,22.0,19.785714285714285,34.6,63.79143333333334,101.3386,113.5,3.71118072990646,0.35,0.22,0.22,0.22,28,7,3,2021
2021-07-19,77.0,19.0,19.0,19.0,21.47142857142857,6.699999999999999,90.34119444444444,101.3386,113.5,3.71118072990646,0.77,0.19,0.19,0.19,29,7,3,2021
2021-07-26,52.0,20.0,20.0,20.0,20.571428571428573,6.0,83.2109,101.3386,113.5,3.71118072990646,0.52,0.2,0.2,0.2,30,7,3,2021
2021-08-02,53.0,20.0,20.0,20.0,20.114285714285717,3.3,86.9839638888889,101.3251,113.4,3.8114546279638617,0.53,0.2,0.2,0.2,31,8,3,2021
2021-08-09,61.0,20.0,20.0,20.0,18.414285714285715,15.0,79.50021111111111,101.3251,113.4,3.8114546279638617,0.61,0.2,0.2,0.2,32,8,3,2021
2021-08-16,44.0,26.0,26.0,26.0,19.87142857142857,9.5,85.00890833333334,101.3251,113.4,3.8114546279638617,0.44,0.26,0.26,0.26,33,8,3,2021
2021-08-23,0.0,19.0,19.0,19.0,17.185714285714287,20.099999999999998,51.62960833333333,101.3251,113.4,3.8114546279638617,0.0,0.19,0.19,0.19,34,8,3,2021
2021-08-30,30.0,21.0,21.0,21.0,14.857142857142858,44.0,54.71800833333333,101.3251,113.4,3.8114546279638617,0.3,0.21,0.21,0.21,35,8,3,2021
2021-09-06,0.0,22.0,22.0,22.0,16.071428571428573,1.0,77.18393888888889,101.3251,113.5,4.112371458661768,0.0,0.22,0.22,0.22,36,9,3,2021
2021-09-13,31.0,21.0,21.0,21.0,18.185714285714287,1.7,73.87964722222222,101.3251,113.5,4.112371458661768,0.31,0.21,0.21,0.21,37,9,3,2021
2021-09-20,47.0,20.0,20.0,20.0,15.114285714285714,6.6,46.30305833333333,101.3251,113.5,4.112371458661768,0.47,0.2,0.2,0.2,38,9,3,2021
