"Time","bio paprika"
"2021-03-01",51
"2021-04-01",54
"2021-05-01",42
"2021-06-01",35
"2021-07-01",25
"2021-08-01",27
"2021-09-01",26
"2021-10-01",20
"2021-11-01",35
"2021-12-01",25
"2022-01-01",51
"2022-02-01",51
"2022-03-01",56
"2022-04-01",40
"2022-05-01",36
"2022-06-01",28
"2022-07-01",31
"2022-08-01",43
"2022-09-01",41
"2022-10-01",26
"2022-11-01",30
"2022-12-01",27
"2023-01-01",46
"2023-02-01",39
"2023-03-01",56
"2023-04-01",45
"2023-05-01",44
"2023-06-01",36
"2023-07-01",36
"2023-08-01",48
"2023-09-01",40
"2023-10-01",26
"2023-11-01",37
"2023-12-01",31
"2024-01-01",54
"2024-02-01",61
"2024-03-01",55
"2024-04-01",69
"2024-05-01",51
"2024-06-01",53
"2024-07-01",36
"2024-08-01",40
"2024-09-01",51
"2024-10-01",49
"2024-11-01",49
"2024-12-01",60
"2025-01-01",71
"2025-02-01",69
"2025-03-01",66
"2025-04-01",48
"2025-05-01",51
"2025-06-01",53
"2025-07-01",54
"2025-08-01",62
"2025-09-01",36
"2025-10-01",43
"2025-11-01",54
"2025-12-01",43
"2026-01-01",100
"2026-02-01",80
"2026-03-01",49
