"Time","bio salat"
"2021-03-01",71
"2021-04-01",75
"2021-05-01",70
"2021-06-01",73
"2021-07-01",43
"2021-08-01",54
"2021-09-01",45
"2021-10-01",58
"2021-11-01",55
"2021-12-01",43
"2022-01-01",85
"2022-02-01",83
"2022-03-01",59
"2022-04-01",66
"2022-05-01",51
"2022-06-01",100
"2022-07-01",70
"2022-08-01",64
"2022-09-01",71
"2022-10-01",57
"2022-11-01",51
"2022-12-01",71
"2023-01-01",60
"2023-02-01",64
"2023-03-01",68
"2023-04-01",89
"2023-05-01",96
"2023-06-01",88
"2023-07-01",51
"2023-08-01",74
"2023-09-01",54
"2023-10-01",56
"2023-11-01",69
"2023-12-01",53
"2024-01-01",51
"2024-02-01",76
"2024-03-01",97
"2024-04-01",83
"2024-05-01",86
"2024-06-01",65
"2024-07-01",81
"2024-08-01",75
"2024-09-01",67
"2024-10-01",57
"2024-11-01",57
"2024-12-01",55
"2025-01-01",86
"2025-02-01",65
"2025-03-01",90
"2025-04-01",87
"2025-05-01",69
"2025-06-01",73
"2025-07-01",79
"2025-08-01",51
"2025-09-01",80
"2025-10-01",43
"2025-11-01",69
"2025-12-01",67
"2026-01-01",90
"2026-02-01",95
"2026-03-01",97
