"Time","bio obst"
"2021-02-01",61
"2021-03-01",56
"2021-04-01",55
"2021-05-01",44
"2021-06-01",34
"2021-07-01",46
"2021-08-01",35
"2021-09-01",43
"2021-10-01",39
"2021-11-01",100
"2021-12-01",37
"2022-01-01",59
"2022-02-01",51
"2022-03-01",52
"2022-04-01",33
"2022-05-01",44
"2022-06-01",38
"2022-07-01",35
"2022-08-01",40
"2022-09-01",33
"2022-10-01",41
"2022-11-01",31
"2022-12-01",21
"2023-01-01",41
"2023-02-01",42
"2023-03-01",43
"2023-04-01",38
"2023-05-01",45
"2023-06-01",40
"2023-07-01",40
"2023-08-01",38
"2023-09-01",35
"2023-10-01",36
"2023-11-01",39
"2023-12-01",38
"2024-01-01",38
"2024-02-01",53
"2024-03-01",53
"2024-04-01",53
"2024-05-01",49
"2024-06-01",57
"2024-07-01",46
"2024-08-01",47
"2024-09-01",34
"2024-10-01",43
"2024-11-01",45
"2024-12-01",47
"2025-01-01",65
"2025-02-01",51
"2025-03-01",61
"2025-04-01",52
"2025-05-01",59
"2025-06-01",44
"2025-07-01",47
"2025-08-01",53
"2025-09-01",47
"2025-10-01",43
"2025-11-01",46
"2025-12-01",41
"2026-01-01",50
"2026-02-01",55
