Category: All categories

Week,supermarkt berlin: (Berlin),wochenmarkt berlin: (Berlin),bio supermarkt: (Berlin)
2021-01-17,42,7,0
2021-01-24,33,8,0
2021-01-31,38,9,0
2021-02-07,39,0,0
2021-02-14,44,10,0
2021-02-21,35,14,0
2021-02-28,43,13,0
2021-03-07,45,0,0
2021-03-14,38,13,0
2021-03-21,37,15,0
2021-03-28,100,22,0
2021-04-04,49,14,0
2021-04-11,42,0,0
2021-04-18,41,14,0
2021-04-25,69,22,0
2021-05-02,43,10,0
2021-05-09,45,24,0
2021-05-16,33,16,0
2021-05-23,31,14,0
2021-05-30,24,15,0
2021-06-06,29,11,0
2021-06-13,32,0,0
2021-06-20,34,10,0
2021-06-27,44,0,0
2021-07-04,34,12,0
2021-07-11,57,10,0
2021-07-18,41,16,0
2021-07-25,44,17,0
2021-08-01,55,10,0
2021-08-08,58,19,0
2021-08-15,44,15,0
2021-08-22,38,16,0
2021-08-29,35,10,0
2021-09-05,41,10,0
2021-09-12,39,8,0
2021-09-19,33,10,0
2021-09-26,41,9,0
2021-10-03,37,11,0
2021-10-10,44,17,0
2021-10-17,42,16,0
2021-10-24,29,8,0
2021-10-31,37,12,0
2021-11-07,36,9,0
2021-11-14,38,14,0
2021-11-21,40,9,0
2021-11-28,36,8,0
2021-12-05,40,14,0
2021-12-12,38,11,0
2021-12-19,57,0,0
2021-12-26,93,12,0
2022-01-02,37,0,0
2022-01-09,43,0,0
2022-01-16,39,14,0
2022-01-23,39,0,0
2022-01-30,41,0,10
2022-02-06,34,11,0
2022-02-13,42,11,0
2022-02-20,44,7,0
2022-02-27,37,7,0
2022-03-06,61,9,0
2022-03-13,44,9,0
2022-03-20,41,9,0
2022-03-27,53,10,0
2022-04-03,40,8,0
2022-04-10,61,15,0
2022-04-17,51,12,0
2022-04-24,29,11,0
2022-05-01,35,10,0
2022-05-08,32,10,0
2022-05-15,39,10,0
2022-05-22,49,9,0
2022-05-29,40,17,0
2022-06-05,48,9,0
2022-06-12,34,13,0
2022-06-19,37,8,0
2022-06-26,43,11,0
2022-07-03,34,12,0
2022-07-10,40,8,0
2022-07-17,47,10,0
2022-07-24,43,13,0
2022-07-31,37,13,0
2022-08-07,54,11,0
2022-08-14,40,14,0
2022-08-21,34,10,0
2022-08-28,41,15,0
2022-09-04,31,13,0
2022-09-11,34,7,0
2022-09-18,39,0,0
2022-09-25,39,7,0
2022-10-02,48,10,0
2022-10-09,29,13,0
2022-10-16,36,10,0
2022-10-23,24,11,0
2022-10-30,38,11,0
2022-11-06,31,8,0
2022-11-13,28,0,0
2022-11-20,31,9,0
2022-11-27,35,0,0
2022-12-04,31,0,0
2022-12-11,44,0,0
2022-12-18,65,11,8
2022-12-25,73,10,0
2023-01-01,33,8,0
2023-01-08,27,0,0
2023-01-15,36,7,0
2023-01-22,30,0,0
2023-01-29,37,12,0
2023-02-05,23,0,0
2023-02-12,37,0,0
2023-02-19,39,7,0
2023-02-26,31,15,0
2023-03-05,26,9,0
2023-03-12,31,13,0
2023-03-19,32,10,0
2023-03-26,43,12,0
2023-04-02,57,19,0
2023-04-09,52,12,0
2023-04-16,32,10,0
2023-04-23,36,11,0
2023-04-30,38,11,0
2023-05-07,29,9,0
2023-05-14,51,12,0
2023-05-21,36,0,0
2023-05-28,40,17,0
2023-06-04,31,10,0
2023-06-11,32,0,0
2023-06-18,36,10,0
2023-06-25,33,0,0
2023-07-02,36,10,0
2023-07-09,34,11,0
2023-07-16,41,9,0
2023-07-23,36,8,0
2023-07-30,33,12,0
2023-08-06,43,14,0
2023-08-13,43,9,0
2023-08-20,40,15,0
2023-08-27,40,8,0
2023-09-03,37,8,0
2023-09-10,38,14,0
2023-09-17,33,8,0
2023-09-24,32,7,0
2023-10-01,53,8,0
2023-10-08,35,13,0
2023-10-15,39,13,0
2023-10-22,35,10,0
2023-10-29,40,12,0
2023-11-05,32,0,0
2023-11-12,31,8,0
2023-11-19,32,0,0
2023-11-26,30,0,0
2023-12-03,40,0,0
2023-12-10,41,0,0
2023-12-17,73,0,0
2023-12-24,70,0,0
2023-12-31,47,0,0
2024-01-07,36,0,7
2024-01-14,41,11,0
2024-01-21,29,7,0
2024-01-28,35,0,0
2024-02-04,26,0,0
2024-02-11,33,8,0
2024-02-18,33,0,0
2024-02-25,32,0,0
2024-03-03,34,14,0
2024-03-10,36,0,0
2024-03-17,36,7,0
2024-03-24,51,15,0
2024-03-31,37,9,0
2024-04-07,37,9,0
2024-04-14,34,12,0
2024-04-21,33,0,0
2024-04-28,35,9,0
2024-05-05,38,0,0
2024-05-12,29,0,0
2024-05-19,33,0,0
2024-05-26,28,13,0
2024-06-02,28,10,0
2024-06-09,31,0,0
2024-06-16,27,7,0
2024-06-23,29,10,0
2024-06-30,32,7,0
2024-07-07,35,8,0
2024-07-14,34,9,0
2024-07-21,33,0,0
2024-07-28,32,9,0
2024-08-04,25,8,0
2024-08-11,28,0,0
2024-08-18,29,16,0
2024-08-25,24,0,0
2024-09-01,40,0,0
2024-09-08,33,10,0
2024-09-15,28,8,0
2024-09-22,32,0,0
2024-09-29,32,9,0
2024-10-06,33,0,0
2024-10-13,38,9,0
2024-10-20,31,8,0
2024-10-27,32,9,0
2024-11-03,32,8,0
2024-11-10,34,0,0
2024-11-17,26,7,0
2024-11-24,34,0,0
2024-12-01,28,0,0
2024-12-08,28,0,0
2024-12-15,39,11,0
2024-12-22,65,0,0
2024-12-29,58,9,0
2025-01-05,23,8,0
2025-01-12,37,0,0
2025-01-19,35,0,0
2025-01-26,33,0,0
2025-02-02,18,0,0
2025-02-09,26,0,0
2025-02-16,28,0,0
2025-02-23,31,0,0
2025-03-02,47,0,0
2025-03-09,26,10,9
2025-03-16,33,0,0
2025-03-23,27,8,0
2025-03-30,34,9,0
2025-04-06,22,0,0
2025-04-13,56,0,0
2025-04-20,30,0,0
2025-04-27,38,16,0
2025-05-04,35,0,0
2025-05-11,18,12,0
2025-05-18,31,0,0
2025-05-25,36,0,0
2025-06-01,43,0,0
2025-06-08,38,0,0
2025-06-15,28,0,0
2025-06-22,39,0,0
2025-06-29,29,0,0
2025-07-06,33,0,0
2025-07-13,26,0,0
2025-07-20,25,12,0
2025-07-27,32,0,0
2025-08-03,27,15,0
2025-08-10,26,0,0
2025-08-17,29,0,0
2025-08-24,21,0,0
2025-08-31,30,0,0
2025-09-07,37,0,0
2025-09-14,26,0,0
2025-09-21,24,8,0
2025-09-28,39,9,0
2025-10-05,28,10,0
2025-10-12,30,0,0
2025-10-19,34,8,0
2025-10-26,32,9,0
2025-11-02,33,0,0
2025-11-09,29,8,0
2025-11-16,35,0,0
2025-11-23,24,0,0
2025-11-30,35,0,0
2025-12-07,31,0,0
2025-12-14,48,0,0
2025-12-21,71,11,0
2025-12-28,64,0,0
2026-01-04,34,2,1
2026-01-11,27,4,2
2026-01-18,26,3,1
