"Time","salat rezepte"
"2021-02-01",64
"2021-03-01",63
"2021-04-01",66
"2021-05-01",66
"2021-06-01",88
"2021-07-01",72
"2021-08-01",64
"2021-09-01",53
"2021-10-01",48
"2021-11-01",45
"2021-12-01",58
"2022-01-01",74
"2022-02-01",67
"2022-03-01",67
"2022-04-01",71
"2022-05-01",82
"2022-06-01",93
"2022-07-01",96
"2022-08-01",82
"2022-09-01",53
"2022-10-01",50
"2022-11-01",50
"2022-12-01",54
"2023-01-01",72
"2023-02-01",72
"2023-03-01",68
"2023-04-01",73
"2023-05-01",82
"2023-06-01",100
"2023-07-01",85
"2023-08-01",70
"2023-09-01",60
"2023-10-01",49
"2023-11-01",45
"2023-12-01",53
"2024-01-01",61
"2024-02-01",53
"2024-03-01",56
"2024-04-01",63
"2024-05-01",62
"2024-06-01",66
"2024-07-01",72
"2024-08-01",73
"2024-09-01",45
"2024-10-01",42
"2024-11-01",40
"2024-12-01",48
"2025-01-01",57
"2025-02-01",51
"2025-03-01",57
"2025-04-01",64
"2025-05-01",66
"2025-06-01",76
"2025-07-01",64
"2025-08-01",62
"2025-09-01",43
"2025-10-01",39
"2025-11-01",39
"2025-12-01",47
"2026-01-01",49
"2026-02-01",48
