date,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_winter,is_spring,is_summer,is_fall,is_christmas_season,is_easter_season,demand_proxy,day_of_year,temperature_2m_mean,temp_warm,temp_cold,temp_moderate,is_rainy,temperature_2m_mean_lag7,temperature_2m_mean_lag14,temperature_2m_mean_rolling7,sentiment_lag7,sentiment_lag14,sentiment_rolling7,event_count_lag7,event_count_lag14,event_count_rolling7,precipitation_sum,sunshine_duration,event_count,sentiment,pred_random_forest,pred_gradient_boosting,pred_ridge,demand_forecast,forecast_lower,forecast_upper
2026-02-05,3,5,6,2,1,2026,0,1,0,0,0,0,0,52.483570765056164,36,2.1666666666666665,0,1,0,0,6.732936507936506,6.732936507936506,2.1666666666666665,0,0,0,0,0,0,0,0,0,0,42.81660397778396,43.30093754562084,43.91476188645511,43.344101136619976,36.84248596612698,49.845716307112966
2026-02-06,4,6,6,2,1,2026,0,1,0,0,0,0,0,49.308678494144075,37,3.133333333333333,0,1,0,0,6.732936507936506,6.732936507936506,2.6499999999999995,0,0,0,0,0,0,0,0,0,0,44.647473766266856,44.190802553165035,44.085348790640865,44.307875036690916,37.661693781187275,50.95405629219455
2026-02-07,5,7,6,2,1,2026,1,1,0,0,0,0,0,63.23844269050346,38,0.8000000000000002,0,1,0,0,6.732936507936506,6.732936507936506,2.033333333333333,0,0,0,0,0,0,0,0,0,0,53.08920638258262,53.23636091002515,53.94141744730198,53.422328246636575,45.40897900964109,61.435677483632055
2026-02-08,6,8,6,2,1,2026,1,1,0,0,0,0,0,67.61514928204012,39,-0.10000000000000009,0,1,0,0,6.732936507936506,6.732936507936506,1.4999999999999998,0,0,0,0,0,0,0,0,0,0,54.213792002842055,54.62646462115747,53.5733429709292,54.137866531642906,46.01718655189647,62.25854651138934
2026-02-09,0,9,7,2,1,2026,0,1,0,0,0,0,0,48.82923312638332,40,0.7000000000000001,0,1,0,0,6.732936507936506,6.732936507936506,1.3399999999999999,0,0,0,0,0,0,0,0,0,0,40.56670423633122,42.73319333729342,44.068294156941676,42.45606391018877,36.08765432366045,48.824473496717076
2026-02-10,1,10,7,2,1,2026,0,1,0,0,0,0,0,48.8293152152541,41,3.533333333333333,0,1,0,0,6.732936507936506,6.732936507936506,1.7055555555555555,0,0,0,0,0,0,0,0,0,0,44.564435488573864,45.37472751037029,44.74354891298649,44.89423730397689,38.16010170838035,51.628372899573414
2026-02-11,2,11,7,2,1,2026,0,1,0,0,0,0,0,57.896064077536955,42,4.1000000000000005,0,1,0,0,6.732936507936506,6.732936507936506,2.0476190476190474,0,0,0,0,0,0,0,0,0,0,45.17793407527895,46.00222779354754,44.80100331028433,45.3270550597036,38.52799680074806,52.12611331865914
2026-02-12,3,12,7,2,1,2026,0,1,0,0,0,0,0,53.837173645764544,43,3.533333333333333,0,1,0,0,2.1666666666666665,6.732936507936506,2.242857142857143,0,0,0,0,0,0,0,0,0,0,44.81396085420308,45.6450640421047,44.73921632514144,45.06608040714974,38.30616834607728,51.825992468222196
2026-02-13,4,13,7,2,1,2026,0,1,0,0,0,0,0,47.65262807032524,44,3.033333333333333,0,1,0,0,3.133333333333333,6.732936507936506,2.2285714285714286,0,0,0,0,0,0,0,0,0,0,44.86819181547612,45.5775139198229,44.45458731778164,44.96676435102688,38.22174969837285,51.71177900368091
2026-02-14,5,14,7,2,1,2026,1,1,0,0,0,0,0,62.712800217929825,45,2.866666666666667,0,1,0,0,0.8000000000000002,6.732936507936506,2.523809523809524,0,0,0,0,0,0,0,0,0,0,54.407296277244896,55.391887640268045,55.026835393773304,54.942006437095415,46.7007054715311,63.18330740265972
